"","min","max","V1","slmin","slmax","tmp.h","redux.by","slmin_in","slmax_in","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","X","B1","B2","B3","B4","New.B1","New.B2","New.B3","New.B4","New.B4.redux","New.B3.redux","New.B2.redux","New.B1.redux","pr.redux.B4","pr.redux.B3","pr.redux.B2","pr.redux.B1"
"49",36,38,"h_36_38",36,38,347309.042608639,0.7008,14.17,14.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95042.9246032107,92801.7405387814,132686.397617241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,25,7,2,0,34,43,45,45,1,1,0.955555555555556,0.755555555555556,0.2992,0.2992,0.330346666666666,0.470506666666666
"71",37,39,"h_37_39",37,39,362598.692009178,0.7317,14.57,15.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92801.7405387814,132686.397617241,110724.616296071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,49,17,3,1,70,91,95,96,1,0.989583333333333,0.947916666666667,0.729166666666667,0.2683,0.275921875,0.306409375,0.46646875
"72",37,40,"h_37_40",37,40,392254.526700391,0.7915,14.57,15.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92801.7405387814,132686.397617241,110724.616296071,30416.2407089365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,63,27,6,3,99,135,144,147,1,0.979591836734694,0.918367346938776,0.673469387755102,0.2085,0.22465306122449,0.273112244897959,0.466948979591837
"73",37,41,"h_37_41",37,41,425050.380269293,0.8577,14.57,16.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92801.7405387814,132686.397617241,110724.616296071,30416.2407089365,33636.7728911815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,78,37,8,7,130,182,197,204,1,0.965686274509804,0.892156862745098,0.637254901960784,0.1423,0.171730882352941,0.234797058823529,0.453426470588235
"97",38,45,"h_38_45",38,45,476232.519902372,0.961,14.96,17.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132686.397617241,110724.616296071,30416.2407089365,33636.7728911815,34007.8009213817,35118.5030757928,32634.4895550912,43535.4491742888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,129,73,32,26,260,391,449,475,1,0.945263157894737,0.823157894736842,0.547368421052632,0.039,0.0916021052631577,0.208945263157895,0.473978947368421
"98",38,46,"h_38_46",38,46,512080.647762217,1.0333,14.96,18.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132686.397617241,110724.616296071,30416.2407089365,33636.7728911815,34007.8009213817,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,131,75,35,32,273,415,482,514,1,0.937743190661479,0.807392996108949,0.531128404669261,-0.0333000000000001,0.0310299610894936,0.165720817120623,0.451185019455252
"124",39,53,"h_39_53",39,53,534857.806386262,1.0793,15.35,20.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110724.616296071,30416.2407089365,33636.7728911815,34007.8009213817,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,17393.7782798226,24407.8429197621,29057.8326247297,17493.23189979,9335.29399614644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,129,89,49,61,328,527,637,698,1,0.912607449856733,0.755014326647565,0.469914040114613,-0.0792999999999999,0.0150227793696281,0.185113037249283,0.492821776504298
"125",39,54,"h_39_54",39,54,542140.330944871,1.094,15.35,21.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110724.616296071,30416.2407089365,33636.7728911815,34007.8009213817,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,17393.7782798226,24407.8429197621,29057.8326247297,17493.23189979,9335.29399614644,7469.25595754781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,127,91,47,63,328,529,639,702,1,0.91025641025641,0.753561253561254,0.467236467236467,-0.0940000000000001,0.00417948717948735,0.175603988603988,0.488843304843305
"126",39,55,"h_39_55",39,55,554652.213782031,1.1192,15.35,21.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110724.616296071,30416.2407089365,33636.7728911815,34007.8009213817,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,17393.7782798226,24407.8429197621,29057.8326247297,17493.23189979,9335.29399614644,7469.25595754781,12832.7003458046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,125,89,50,64,328,531,645,709,1,0.909732016925247,0.748942172073343,0.46262341325811,-0.1192,-0.0181720733427364,0.161783921015515,0.482231875881523
"127",39,56,"h_39_56",39,56,567865.703579436,1.1459,15.35,22.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110724.616296071,30416.2407089365,33636.7728911815,34007.8009213817,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,17393.7782798226,24407.8429197621,29057.8326247297,17493.23189979,9335.29399614644,7469.25595754781,12832.7003458046,13552.2972281083,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,125,89,51,66,331,537,654,720,1,0.908333333333333,0.745833333333333,0.459722222222222,-0.1459,-0.0408591666666662,0.145349583333334,0.473204305555556
