"","h_34_37","h_36_38","h_38_41","h_38_42","h_39_45","h_40_48","h_40_49","h_41_49","h_41_50","h_42_51","h_42_52","h_42_53","h_43_53","h_43_54","h_43_55","h_43_56","h_44_56","h_44_57","h_44_58"
"pr.redux.pop",0.415982142857143,0.413384444444444,0.463825396825397,0.419225951557093,0.441675550660793,0.43948,0.416475409836066,0.463593625498008,0.431579182156134,0.45055,0.429215111940298,0.415633333333334,0.452200449438202,0.437542984409799,0.426092778993435,0.41069188034188,0.450736868686868,0.44214289276808,0.434230215827338
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.00365554927454306,0.0010350436196954,0.000250761239476984,0.000219160926737633,0.0000500588191124571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.0768795929903901,0.0372615703090345,0.014866559197564,0.0132748904195366,0.00468049958701474,0.000931844561787834,0.000861053204024291,0.000518631441638247,0.000447227191413238,0.000203822266983191,0.000188067660106424,0.00018119031377899,0.0000884583913841527,0.0000837433267036533,0.0000779476386737209,0.0000731228006032631,0.000037306124733028,0.000036299946457579,0.0000347487664187921
"4",0.445713208969286,0.34474345704569,0.243310048361096,0.22686286787727,0.117287813180487,0.0402001013585313,0.0372669869180338,0.0289490641059894,0.0250311703800076,0.0155864086516558,0.0143927073999093,0.0138663881309686,0.00936553218779717,0.00886632471474929,0.0082527062445802,0.00774187651387048,0.0051202656196081,0.00498216765130271,0.00476926819097922
"5",0.901488599962314,0.799275469466213,0.665377037435071,0.633844708829054,0.375341025705204,0.152005100622865,0.141303362639355,0.117069260871615,0.101507020111671,0.0680406685370357,0.0628588496896884,0.060581514324693,0.0443618832791526,0.0420077462577201,0.0391102277045395,0.0366893652026873,0.0261609199690359,0.0254553374533773,0.024367572451178
"6",1,1,1,0.99257983719474,0.75053187495307,0.415177622651997,0.392036013172603,0.357069889515787,0.314780181059251,0.240138599141549,0.223136747314504,0.215445941336971,0.181638249408435,0.172218151366063,0.16044547075502,0.15057812714227,0.123343374898574,0.120034847948599,0.114905483355341
"7",0.680685886564914,0.778981221351471,0.956654128604693,1,0.996270617976122,0.745639130932335,0.722876824073235,0.697810746672115,0.634534070580582,0.534805649473659,0.504032391888752,0.48937372100955,0.449810920188416,0.428357584005025,0.400319585318562,0.376445317855674,0.335997612408017,0.327180492408774,0.313277503648621
"8",0.235651026945544,0.352912908472571,0.618126455310765,0.703882279273638,1,1,1,1,0.944516723586491,0.861568712083064,0.828216786698085,0.811231667803547,0.783818748756054,0.752067413377996,0.707248156051173,0.668022485261186,0.626938752669719,0.611409073171617,0.585803391479602
"9",0.0649707932918786,0.118623391985805,0.280924234282644,0.351534126487163,0.705729231847421,0.934280436168648,0.976857306867277,0.996180986657027,1,1,1,1,1,0.979556160368471,0.940272621866261,0.903797815456332,0.882177931561914,0.866425272022724,0.833092987698937
"10",0.0154512907480686,0.0323451131154813,0.0972237148486477,0.133249843456481,0.368482967486797,0.64315257728588,0.710897610199704,0.732260447280328,0.796376104515639,0.882946071026065,0.933944000088502,0.965104877216917,0.984188062540083,1,1,1,1,1,0.971914309542011
"11",0.00109289617486339,0.0028833357977229,0.0136127530001791,0.0224796493425172,0.110479813781193,0.298827837630172,0.361143841203662,0.374640494114319,0.46113189136445,0.586276766659473,0.669897005299083,0.725112977489768,0.748512793294854,0.802480896053596,0.854091763857629,0.909227183401124,0.922319321774652,0.950577622898006,0.942655848217388
"12",0.000150744299981157,0.000443590122726601,0.0030449579079348,0.00594865372573575,0.0464045253172478,0.17688698523762,0.230173117012599,0.239214823429568,0.325174825174825,0.455302975805098,0.548781432190546,0.61268971691678,0.634467812202835,0.703768449701664,0.776397455009597,0.853123714638271,0.868533216440809,0.907199186881199,0.906795121273195
"13",0.0000753721499905785,0.0002957267484844,0.00207773598423787,0.00419536631183469,0.0356418792080695,0.149095129886053,0.199190307864286,0.207075390152289,0.292798286984333,0.427391314773517,0.529222395539478,0.601765006821282,0.623454742475508,0.707913744373495,0.803143238529518,0.907536218637174,0.924567015789817,0.979109380813663,0.988002988393912
"14",0.000113058224985868,0.0002957267484844,0.00232849722371485,0.00466499686912962,0.0395464670988411,0.163710376170936,0.217680292455965,0.226296185701488,0.317314468477259,0.458492194806129,0.563373270054097,0.636788028649386,0.659700568345165,0.742719564534701,0.833162822873735,0.929792971070792,0.947118568190933,0.996170355648725,1
"15",0.0000376860749952892,0.0000739316871211001,0.000788106752641949,0.0017219787100814,0.0180962631091533,0.0872500776537135,0.120230218435602,0.125021609643402,0.184067870114382,0.278732944872072,0.352228601772261,0.405397339699864,0.420210530971494,0.483649115461112,0.556429218672357,0.636168365248389,0.648436407047127,0.689934932345975,0.736161303773716
"16",0,0.0000369658435605501,0.000358230342109977,0.000751408891671885,0.00773408755287463,0.0364563749611731,0.049925979636847,0.0519102924767009,0.075744023418442,0.113636908615687,0.142754416824312,0.16362551159618,0.169585793582344,0.194148435046582,0.221897440394415,0.252008591929071,0.256852668786898,0.272494623070431,0.444037111682535
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000145199785830316,0.169165682118285
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136124799215921,0.131011536590451
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
