"","h_38_41","h_39_44","h_40_47","h_41_48","h_42_49","h_42_50","h_43_51","h_44_52","h_44_53","h_45_55","h_45_56","h_45_57","h_45_58"
"pr.redux.pop",0.42282380952381,0.433145833333333,0.410702192982456,0.420294291754757,0.452656179775281,0.40733866943867,0.415519424460431,0.440682926829268,0.422006702412869,0.450258024691358,0.431197910447761,0.422388823529412,0.411480617977528
"1",0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.000250761239476984,0.000059509640561771,0,0,0,0,0,0,0,0,0,0,0
"3",0.014866559197564,0.0055343965722447,0.00106444564791126,0.000563139931740614,0.000277560083594566,0.000237264480111654,0.0000999750062484379,0.0000483582378258136,0.0000460702110015664,0.0000206451612903226,0.000019296265207869,0.0000182878879318228,0.0000174363355797146
"4",0.243310048361096,0.135027374434658,0.0455283945545202,0.0312969283276451,0.0211108934169279,0.018115840893231,0.0105723569107723,0.00663716814159292,0.00632313645996499,0.00335483870967742,0.00313564309627872,0.0029717817889212,0.00283340453170362
"5",0.665377037435071,0.42439300166627,0.170946236157538,0.126160409556314,0.0916274817136886,0.0788834612700628,0.0500374906273432,0.0338749455969824,0.032295217912098,0.0186322580645161,0.0174148793501018,0.01650481885847,0.0157362928606924
"6",1,0.805730778386099,0.453565892920503,0.378242320819113,0.312646943573668,0.274333565945569,0.20296175956011,0.158784273901059,0.15177831014466,0.102978064516129,0.0963173077850782,0.0913022804996251,0.087050905381725
"7",0.956654128604693,1,0.780873592410689,0.719419795221843,0.654356060606061,0.593133286810886,0.492026993251687,0.425165626964553,0.40911499124666,0.309450322580645,0.290177236195934,0.27526014520583,0.262521468488183
"8",0.618126455310765,0.923173054034754,1,1,0.977631922675026,0.920348918353105,0.83270432391902,0.770987475216403,0.748894314935962,0.609909677419355,0.57486468494023,0.546222636747682,0.521302842994516
"9",0.280924234282644,0.593906212806475,0.88027787633756,0.953412969283276,1,1,1,1,0.992202616787985,0.886998709677419,0.851978349590437,0.815557506263602,0.78128732465585
"10",0.0972237148486477,0.282016186622233,0.565295336981083,0.663378839590444,0.746506008359457,0.807969295184927,0.901037240689828,0.975591179457421,1,1,1,0.974918161701505,0.944221162480493
"11",0.0136127530001791,0.0712925493930017,0.234682253636856,0.310750853242321,0.386641196447231,0.472700628053036,0.606848287928018,0.720948788626142,0.772966000184281,0.886998709677419,0.943037425106371,0.947303450924453,0.936008648422448
"12",0.0030449579079348,0.0260652225660557,0.126706381071542,0.18438566552901,0.247844827586207,0.334291695743196,0.473256685828543,0.595894385608588,0.658446973187137,0.81538064516129,0.893822300693701,0.909676121504727,0.905817633366172
"13",0.00207773598423787,0.0194298976434182,0.10373676445872,0.155443686006826,0.214651907001045,0.301130495464061,0.444526368407898,0.575535567483921,0.647608956049019,0.84546064516129,0.952897816627592,0.983184287046689,0.988317655161591
"14",0.00232849722371485,0.021572244703642,0.114399895422884,0.170682593856655,0.234554597701149,0.326336357292394,0.476843289177706,0.612541708980125,0.685167695568046,0.876676129032258,0.975831427827144,1,1
"15",0.000788106752641949,0.00928350392763628,0.0584324637248128,0.0910068259385666,0.129685867293626,0.189392882065597,0.290102474381405,0.383637990231636,0.436849258269603,0.586838709677419,0.669020811022027,0.693485854318685,0.737173395639173
"16",0.000358230342109977,0.00398714591763866,0.0245756223272143,0.0380204778156997,0.0538466562173459,0.077920446615492,0.118257935516121,0.155447555491078,0.176287662397494,0.23394064516129,0.264937721304042,0.273842833891114,0.444922974987577
"17",0,0,0,0,0,0,0,0,0,0,0,0.000146303103454582,0.169768881371891
"18",0,0,0,0,0,0,0,0,0,0,0,0.000137159159488671,0.131478688438838
"19",0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0
