"","h_35_37","h_39_44","h_40_46","h_41_47","h_42_48","h_42_49","h_43_50","h_44_51","h_44_52","h_45_53","h_45_54","h_45_55","h_46_57","h_46_58"
"pr.redux.pop",0.461,0.4085,0.4502,0.4393,0.4518,0.4145,0.4377,0.4474,0.412,0.4649,0.4445,0.4217,0.462,0.4522
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.00236170406031429,0.000059509640561771,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.0611772186392951,0.0055343965722447,0.00130644052257621,0.000627709448988799,0.000309941840325257,0.000277560083594566,0.00011719207781554,0.0000528199236752103,0.0000483582378258136,0.000024024024024024,0.0000222786614980172,0.0000206451612903226,0.00000921599528141042,0.00000878356419467892
"4",0.414388227813607,0.135027374434658,0.0547100618840247,0.0355636634692717,0.0234461886269576,0.0211108934169279,0.0123637642095394,0.00723632954350381,0.00663716814159292,0.0039039039039039,0.00362028249342779,0.00335483870967742,0.00163123116480964,0.00155469086245817
"5",0.873376328458534,0.42439300166627,0.20275040110016,0.142195806116244,0.101278054294518,0.0916274817136886,0.0583177077229579,0.036921126648972,0.0338749455969824,0.0216696696696697,0.0201064920019605,0.0186322580645161,0.00987954694167197,0.0094159808166958
"6",1,0.805730778386099,0.513293605317442,0.41303281743463,0.339003445823989,0.312646943573668,0.23246513535685,0.171559112097083,0.158784273901059,0.119351351351351,0.110958873590875,0.102978064516129,0.0652308146018229,0.0621788509341321
"7",0.702379871014625,1,0.832065092826037,0.752545165656447,0.689802913453299,0.654356060606061,0.545866049455057,0.451782012174992,0.425165626964553,0.355207207207207,0.332085728289444,0.309450322580645,0.220326799192679,0.210076504844136
"8",0.257516577345808,0.923173054034754,1,1,1,0.977631922675026,0.889443923590765,0.802453485454713,0.770987475216403,0.689297297297297,0.64989083455866,0.609909677419355,0.4682462882579,0.446802343454927
"9",0.0732128258697429,0.593906212806475,0.816021086408435,0.899546872241511,0.979616766030374,1,1,1,1,0.959327327327327,0.924597870159961,0.886998709677419,0.746071682011299,0.71480645416297
"10",0.0177127804523572,0.282016186622233,0.481572312628925,0.584652503972224,0.692865868110631,0.746506008359457,0.825457049103481,0.923252650899919,0.975591179457421,1,1,1,0.934271521652981,0.905251693031999
"11",0.00127168680170769,0.0712925493930017,0.173619069447628,0.245159771670688,0.329140002552462,0.386641196447231,0.491181296144381,0.63354857452231,0.720948788626142,0.79236036036036,0.834681192353963,0.886998709677419,0.936170016680952,0.92530457008845
"12",0.000181669543101099,0.0260652225660557,0.0835205134082054,0.132780164381412,0.196229648671808,0.247844827586207,0.349334934958397,0.497286376421186,0.595894385608588,0.680912912912913,0.741177650046785,0.81538064516129,0.907830831190614,0.904021994044743
"13",0.0000908347715505496,0.0194298976434182,0.0662388264955306,0.10877027795759,0.165545406479608,0.214651907001045,0.314953709129263,0.467654399239393,0.575535567483921,0.670990990990991,0.747482511250724,0.84546064516129,0.983816712285843,0.988959059807289
"14",0.0000908347715505496,0.021572244703642,0.0732981893192757,0.119931736597422,0.181771773414283,0.234554597701149,0.341292628618305,0.501577995219797,0.612541708980125,0.70966966966967,0.783874704807735,0.876676129032258,1,1
"15",0.0000454173857752748,0.00928350392763628,0.0355260142104057,0.0612997508778124,0.0970117960218053,0.129685867293626,0.19830364467362,0.30557646344201,0.383637990231636,0.453393393393393,0.5117965512632,0.586838709677419,0.695162524076788,0.739093009161258
"16",0,0.00398714591763866,0.0150813660325464,0.0257949351693835,0.0405294535907674,0.0538466562173459,0.0815803351693426,0.124549380026146,0.155447555491078,0.182894894894895,0.205364701688723,0.23394064516129,0.274397043508714,0.44673207494137
"17",0,0,0,0,0,0,0,0,0,0,0,0,0.000147455924502567,0.171042345562983
"18",0,0,0,0,0,0,0,0,0,0,0,0,0.000138239929221156,0.132464931619953
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0
