"","min","max","V1","slmin","slmax","tmp.h","redux.by","slmin_in","slmax_in","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","X","B1","B2","B3","B4","New.B1","New.B2","New.B3","New.B4","New.B4.redux","New.B3.redux","New.B2.redux","New.B1.redux","pr.redux.B4","pr.redux.B3","pr.redux.B2","pr.redux.B1"
"2",34,36,"h_34_36",34,36,268487.076450116,0.5418,13.39,14.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58300.2455918402,86344.8503503124,95042.9246032107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,2,0,0,11,13,13,13,1,1,1,0.846153846153846,0.4582,0.4582,0.4582,0.541553846153846
"70",37,38,"h_37_38",37,38,254642.191120508,0.5138,14.57,14.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92801.7405387814,132686.397617241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,23,6,1,0,30,37,38,38,1,1,0.973684210526316,0.789473684210526,0.4862,0.4862,0.499721052631579,0.594368421052632
"91",38,39,"h_38_39",38,39,272116.994983866,0.5491,14.96,15.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132686.397617241,110724.616296071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,44,15,1,1,61,78,80,81,1,0.987654320987654,0.962962962962963,0.753086419753086,0.4509,0.457679012345679,0.471237037037037,0.58648024691358
"115",39,44,"h_39_44",39,44,304416.21928063,0.6143,15.35,17.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110724.616296071,30416.2407089365,33636.7728911815,34007.8009213817,35118.5030757928,32634.4895550912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,125,64,29,17,235,345,391,408,1,0.958333333333333,0.845588235294118,0.575980392156863,0.3857,0.411295833333334,0.480555147058823,0.646175245098039
"136",40,47,"h_40_47",40,47,310626.594656825,0.6268,15.75,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30416.2407089365,33636.7728911815,34007.8009213817,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,126,80,26,23,255,384,433,456,1,0.949561403508772,0.842105263157895,0.559210526315789,0.3732,0.404814912280702,0.472168421052631,0.649486842105263
"154",41,48,"h_41_48",41,48,301999.690579135,0.6094,16.14,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33636.7728911815,34007.8009213817,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,132,79,25,27,263,394,446,473,1,0.94291754756871,0.832980972515856,0.556025369978858,0.3906,0.425386046511628,0.492381395348837,0.661158139534884
"155",41,49,"h_41_49",41,49,318958.624401962,0.6436,16.14,19.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33636.7728911815,34007.8009213817,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,17393.7782798226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,133,82,27,31,273,413,471,502,1,0.938247011952191,0.822709163346614,0.543824701195219,0.3564,0.39614422310757,0.470504382470119,0.649994422310757
"172",42,50,"h_42_50",42,50,309960.417679828,0.6255,16.54,19.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34007.8009213817,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,17393.7782798226,24407.8429197621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,135,70,26,32,263,391,449,481,1,0.933471933471933,0.812889812889813,0.546777546777547,0.3745,0.416113305613306,0.491537422037422,0.657990644490644
"173",42,51,"h_42_51",42,51,338291.804488939,0.6826,16.54,20.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34007.8009213817,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,17393.7782798226,24407.8429197621,29057.8326247297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,131,69,33,36,269,407,476,512,1,0.9296875,0.794921875,0.525390625,0.3174,0.3653953125,0.457386328125,0.641368359375
"188",43,51,"h_43_51",43,51,305134.198590592,0.6157,16.93,20.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35118.5030757928,32634.4895550912,43535.4491742888,36767.3106254826,36791.4722667561,21568.1339625873,17393.7782798226,24407.8429197621,29057.8326247297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,118,63,27,23,231,344,394,417,1,0.94484412470024,0.824940047961631,0.553956834532374,0.3843,0.418259472422062,0.492084412470024,0.658928776978417
