"","h_36_39","h_36_40","h_37_45","h_38_49","h_38_50","h_38_51"
"pr.redux",0.424667961165048,0.424403896103896,0.432859713701432,0.44681808,0.432624357034795,0.421254768786127
"1",0,0,0,0,0,0
"2",0.000000482588188014669,0.000000447982627831003,0.000000115907085039141,0.00000002443228978748,0.0000000221731680298527,0.0000000196684305806922
"3",0.00181408921442948,0.00169721951742341,0.000708573127154278,0.000244542788482887,0.000221931238810796,0.000196861321682148
"4",0.0668416209710949,0.0634032239741786,0.0355676786271409,0.0156001758391896,0.0141579225577494,0.012558666625953
"5",0.638022664874897,0.625885302335823,0.498336087561643,0.280216667989064,0.25446659345604,0.225794359969355
"6",1,1,0.944193222276905,0.589481862598055,0.536159619935935,0.476204881910989
"7",0.597031443214361,0.629845730089048,1,0.85169331343812,0.788455282856508,0.709693059881176
"8",0.246652833678414,0.27490384892861,0.803706350923404,1,0.971321290989693,0.912891687575438
"9",0.0927758498714797,0.108423984795768,0.550282960655075,0.966978954086658,1,1
"10",0.00986448461200201,0.0125757683284719,0.171687088225592,0.558367671389612,0.666488423959931,0.773791629401137
"11",0.000854080553580128,0.0011905884972322,0.041810450785504,0.24595132220528,0.345774812476252,0.475885653448449
"12",0.0000619924743187177,0.0000941323496729895,0.0075984048668259,0.0762454558231522,0.125714811661831,0.203174651877384
"13",0.000956228386709899,0.00132160474992994,0.0425288263404216,0.236715843368744,0.327508822731276,0.443400811293259
"14",0.00022876690896012,0.000337032263671524,0.0204495035716106,0.170589276900119,0.265959755766545,0.406515816688064
"15",0.000186781736602844,0.000272914750063212,0.0152866873990222,0.121127999727824,0.185951027520682,0.279847072051706
"16",0,0,0,0,0,0
"17",0,0,0,0,0,0
"18",0,0,0,0,0,0
"19",0,0,0,0,0,0
"20",0,0,0,0,0,0
"21",0,0,0,0,0,0
"22",0,0,0,0,0,0
"23",0,0,0,0,0,0
"24",0,0,0,0,0,0
"25",0,0,0,0,0,0
"26",0,0,0,0,0,0
