"","h_41_47","h_43_50","h_45_54","h_46_58"
"pr.redux",0.4422,0.4407,0.4417,0.4493
"1",0,0,0,0
"2",0,0,0,0
"3",0.00000926159008626768,0.000000892446989842923,0.0000000802147533440954,0.0000000203739048907273
"4",0.00169495869023856,0.000305744796914637,0.0000527913345445828,0.000014370394249593
"5",0.0933642303252911,0.0312678858632199,0.00973807105597318,0.00359666655207477
"6",0.284898368695447,0.117440870296204,0.044501821611874,0.0182342238164999
"7",0.724817319959293,0.446130894119008,0.245658744961774,0.122562783512225
"8",1,0.835065903942084,0.608629761857337,0.347854748021045
"9",0.94618540801751,1,0.907857302806793,0.570823754598543
"10",0.457403412534604,0.732212192821946,1,0.752699783489229
"11",0.15934534169821,0.388743586228593,0.827751711715155,0.80010335410299
"12",0.0391707551119987,0.142162883743093,0.469209341324875,0.622603864095786
"13",0.156959938483396,0.367803474022113,0.749804338669616,0.704895702653127
"14",0.0950933235880824,0.300366773087409,0.84904309364159,1
"15",0.0690579238612748,0.209909364340679,0.568625471170181,0.648992831631721
"16",0,0,0,0.0894990666646257
"17",0,0,0,0.307250492773451
"18",0,0,0,0
"19",0,0,0,0
"20",0,0,0,0
"21",0,0,0,0
"22",0,0,0,0
"23",0,0,0,0
"24",0,0,0,0
"25",0,0,0,0
"26",0,0,0,0
