"","h_38_41","h_39_44","h_41_48","h_44_52","h_44_53","h_45_55","h_45_56"
"pr.redux",0.423695238095238,0.436020833333334,0.42321733615222,0.443536585365854,0.421340482573727,0.447596296296296,0.428642985074627
"1",0,0,0,0,0,0,0
"2",0.0000000565517875539356,0,0,0,0,0,0
"3",0.000560173731615509,0.000166246840350074,0.00000802626400318947,0.000000281498039019699,0.000000271662648654193,0.0000000752416609314494,0.00000006260128251717
"4",0.0346605623159133,0.0141790695717643,0.00147131452008467,0.000127377862656414,0.000122937797079432,0.0000495184181005102,0.0000411994690566125
"5",0.54092013830079,0.335967262953614,0.081875037423596,0.0174898087965712,0.0168840007908727,0.00913496778598826,0.00760049996201276
"6",1,0.75030108562975,0.252458716006625,0.0724652173444194,0.0699900468029815,0.0417514659779547,0.0347401278736053
"7",0.827070204011139,1,0.672158642877935,0.333598075021133,0.323525054406453,0.230827486625207,0.192214640015746
"8",0.438291679077428,0.8346821163782,0.990084964541014,0.7305918253749,0.716615149850632,0.575163564790006,0.480681232477461
"9",0.198344989316519,0.54682910116021,1,1,0.9985457480475,0.867858920945233,0.731447618897227
"10",0.0285843272262869,0.147513365011547,0.54945321000472,0.95013539406066,1,1,0.876267219177239
"11",0.00329920301000282,0.030425104587199,0.21862029099433,0.667567575877905,0.756465761724252,0.898581351401364,0.852936026364342
"12",0.000310893452077761,0.00474567596503894,0.0608441127604357,0.318145575801424,0.39097576594683,0.566263435632993,0.598922151463036
"13",0.00359581713572322,0.031441140539399,0.212636771984982,0.614796827491116,0.69132471557417,0.806405510699247,0.758303193489398
"14",0.0010478197956931,0.0134640097238037,0.141456746546894,0.612974809779865,0.731517831356362,0.984804335236399,1
"15",0.000834280245889434,0.010214091449163,0.101503266043396,0.41754834739647,0.494355753961701,0.652656023576974,0.655628599862297
"16",0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0.000000446034137934836
"18",0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0
