"","h_35_40","h_35_45","h_35_50","h_35_55","h_35_58","h_40_45","h_45_50","h_50_55"
"bag",2,2,2,2,2,2,2,2
"pr.redux.B2",0.237461941008563,-0.0530708848715509,-0.297885347288297,-0.44720742150333,-0.506641294005709,0.657775927687916,0.703568030447193,0.798986679352997
"min",35,35,35,35,35,40,45,50
"max",40,45,50,55,58,45,50,55
"1",0.000289301877097993,0.000206552180825477,0.000151430081312983,0.000116837125111312,0.000101884643064875,0.000448459385997475,0.000255023418034539,0.000217788297845865
"2",0.045231628012195,0.0331876683816228,0.0243469611203804,0.018785187257178,0.0163811125682955,0.0137818891420991,0.00675789900338791,0.00574826682174287
"3",0.344975005585288,0.281902639759924,0.209747558165664,0.16191207075518,0.14119133648511,0.109942310611007,0.0236400699416835,0.0159020577247528
"4",0.787775238382501,0.689379583858675,0.522576377058477,0.403902568131927,0.352217128629646,0.334256446264687,0.0619331647204358,0.0294471365266655
"5",1,1,0.826386049491031,0.647879721851265,0.565203967963126,0.696329500039946,0.199347376159648,0.0549677257936489
"6",0.813386421312416,0.985596888980941,0.98427949902178,0.815732460891151,0.714316986414208,0.961628216477302,0.48755234188588,0.144202662312455
"7",0.423512157477447,0.723233981001724,1,0.929202080148721,0.824553429838042,1,0.840915799782917,0.335334759399865
"8",0.195164644665378,0.430822788738664,0.876491587088237,1,0.935172812048214,0.72827164089285,1,0.650584266647597
"9",0.105696011121642,0.219839633720146,0.633503921499015,0.950736339546771,1,0.417099117067725,0.856039962969047,0.913317986779325
"10",0.0694534078680163,0.0876388925779031,0.34186428123445,0.741291139041816,0.935514002532923,0.184448630453288,0.526562824080443,0.941846951941736
"11",0.0646560365031163,0.0602498772363689,0.234216477948461,0.646811361332597,0.896114581409746,0.130065752742991,0.377435775426736,0.919421448194844
"12",0.0717262290341122,0.0617211793985624,0.212404804167749,0.651354471154011,0.974520356792526,0.13363519270615,0.345240535723247,0.964881042811606
"13",0.0717985670376956,0.0629324281339663,0.22843772842974,0.682504598869773,0.987932219403986,0.136198988913761,0.370836754222462,1
"14",0.0582264574593578,0.0465986473699445,0.137063449555733,0.447765017284127,0.691134425025171,0.101201015194597,0.225084906029445,0.683061350510881
"15",0.052708313194877,0.0398000443731731,0.0717661854460717,0.191688533080271,0.282953080064824,0.0865344887149982,0.118438746173918,0.294511177821277
"16",0.0327961496207419,0.023415389816321,0.0171665792619089,0.0132450154656619,0.0116501351349652,0.0509747796378679,0.0289876027633853,0.0247552193956351
"17",0.0491942144036657,0.0351230775652086,0.0257498636441689,0.0198675191488196,0.0174752027024479,0.076462153871225,0.0434813952820969,0.037132821524526
"18",0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0
